GCN_SEQNO,ETC_NAME,NDC,BN,LN,LN25,LN60,GNN,GNN60,Package_Description,TRADENAME,STR,STR60,RT,GCRT_DESC,ETC_ID,ETC_HIERARCHY_LEVEL,ETC_ULTIMATE_PARENT_ETC_ID,ETC_PARENT_ETC_ID,ETC_ULTIMATE_CHILD_IND,GCN,GCRT,HICL_SEQNO,HIC3,HIC3_SEQN,TC,prednisoneMultiplier,prednisodeEquivalentDose,category,subcategory
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029608523,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029608539,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00403036118,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598001251,AUGMENTIN,AUGMENTIN 125-31.25 MG/5 ML,,AUGMENTIN 125-31.25 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598001252,AUGMENTIN,AUGMENTIN 125-31.25 MG/5 ML,,AUGMENTIN 125-31.25 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598001253,AUGMENTIN,AUGMENTIN 125-31.25 MG/5 ML,,AUGMENTIN 125-31.25 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,53002024086,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN ORAL SUSPENSION,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,53002024093,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN ORAL SUSPENSION,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54569013700,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN ORAL SUSPENSION,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54569013701,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54569101900,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54569501900,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54569800200,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54868019900,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54868019902,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,54868019903,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,55045134803,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN POWDER FOR ORAL SUSPENSION,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,55045134807,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN POWDER FOR ORAL SUSPENSION,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,55175122105,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,55175122107,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,55947002007,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,57362060234,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,57362060241,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,58016100801,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,58016100901,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029609022,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029609023,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029609039,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00403036518,AUGMENTIN,AUGMENTIN 250-62.5 SUSPEN,,AUGMENTIN 250-62.5 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00403036718,AUGMENTIN,AUGMENTIN 250-62.5 SUSPEN,,AUGMENTIN 250-62.5 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598000451,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598000452,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598000453,AUGMENTIN,AUGMENTIN 250-62.5 MG/5 ML,,AUGMENTIN 250-62.5 MG/5 ML,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598020451,AMOX TR-POTASSIUM CLAVULANATE,AMOX TR-K CLV 250-62.5/5 SUSP,,AMOX TR-K CLV 250-62.5/5 SUSP,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AMOXICILLIN AND CLAVULANATE POTASSIUM,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
8990,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,43598020452,AMOX TR-POTASSIUM CLAVULANATE,AMOX TR-K CLV 250-62.5/5 SUSP,,AMOX TR-K CLV 250-62.5/5 SUSP,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AMOXICILLIN AND CLAVULANATE POTASSIUM,250-62.5/5,250 mg-62.5 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67151,1,3962,W1A,476,22,,,,
