"outcomeCategory","disease","timeWindow","MPCD TNF","MPCD DMARD","MPCD NSAID","MPCD No exposure","Marketscan TNF","Marketscan DMARD","Marketscan NSAID","Marketscan No exposure","Medicare TNF","Medicare DMARD","Medicare NSAID","Medicare No exposure"
"Kidney disease","Amyloidosis","12 months","0","0","0","0.1 (0.0-0.3)","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.1 (0.0-0.2)","0.0 (0.0-0.1)","0.1 (0.0-0.1)","0.1 (0.0-0.2)"
"Kidney disease","IgA nephropathy","12 months","0.3 (0.1-0.7)","0.2 (0.0-1.0)","0.1 (0.0-0.5)","0.0 (0.0-0.2)","0.1 (0.1-0.2)","0.0 (0.0-0.2)","0.0 (0.0-0.1)","0.2 (0.1-0.3)","0.1 (0.1-0.2)","0.2 (0.1-0.3)","0.1 (0.1-0.2)","0.3 (0.2-0.4)"
"Kidney disease","Nephrotic syndrome","12 months","0.2 (0.0-0.5)","0.2 (0.0-1.0)","0","0.0 (0.0-0.2)","0.1 (0.0-0.2)","0.0 (0.0-0.2)","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.2 (0.1-0.3)","0.2 (0.1-0.4)","0.1 (0.1-0.2)","0.2 (0.1-0.3)"
"Lung disease","Apical Pulmonary fibrosis","12 months","0","0","0","0.0 (0.0-0.2)","0.0 (0.0-0.1)","0","0","0.0 (0.0-0.1)","0","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.0 (0.0-0.0)"
"Lung disease","Interstitial lung disease","12 months","0","0","0","0.1 (0.0-0.4)","0.1 (0.0-0.2)","0.1 (0.0-0.4)","0.0 (0.0-0.1)","0.2 (0.1-0.3)","0.4 (0.3-0.6)","1.1 (0.8-1.4)","0.5 (0.4-0.6)","0.7 (0.6-0.9)"
"Lung disease","Restrictive lung disease ","12 months","0.7 (0.3-1.3)","0.4 (0.1-1.3)","0.9 (0.4-1.6)","1.9 (1.4-2.7)","0.9 (0.7-1.1)","0.7 (0.4-1.2)","0.7 (0.5-1.0)","1.8 (1.5-2.2)","2.4 (2.1-2.9)","3.4 (2.9-3.9)","2.6 (2.3-2.9)","3.6 (3.3-3.9)"
"Neurological Disease","Cauda Equina syndrome","12 months","0","0","0","0.3 (0.1-0.6)","0.0 (0.0-0.0)","0.1 (0.0-0.4)","0","0.1 (0.0-0.2)","0.1 (0.1-0.3)","0.0 (0.0-0.1)","0.1 (0.0-0.1)","0.3 (0.2-0.4)"
"Neurological Disease","Spinal Cord compression","12 months","0.2 (0.0-0.5)","0","0.3 (0.1-0.8)","0.2 (0.1-0.5)","0.2 (0.1-0.3)","0.2 (0.1-0.5)","0.5 (0.3-0.7)","0.4 (0.2-0.5)","0.3 (0.1-0.4)","0.4 (0.3-0.6)","0.5 (0.4-0.6)","1.0 (0.9-1.2)"
"Osteoporotic fracture","Clinical vertebral fracture","12 months","1.3 (0.8-2.1)","0.4 (0.1-1.3)","0","0","0.6 (0.4-0.8)","0.8 (0.5-1.3)","0","0","1.8 (1.5-2.2)","2.7 (2.3-3.1)","0","0"
"Osteoporotic fracture","Non-vertebral osteoporotic fracture","12 months","2.0 (1.4-2.9)","0.8 (0.3-2.0)","0","0","1.0 (0.8-1.3)","1.0 (0.6-1.5)","0","0","2.9 (2.5-3.4)","3.0 (2.6-3.5)","0","0"
"PsO/PsA","Psoriasis","12 months","4.3 (3.3-5.5)","1.5 (0.7-2.8)","1.5 (0.9-2.4)","2.1 (1.5-2.9)","4.4 (3.9-4.9)","3.6 (2.8-4.4)","1.9 (1.6-2.3)","2.2 (1.8-2.6)","7.0 (6.4-7.7)","4.8 (4.3-5.4)","2.9 (2.7-3.2)","3.3 (3.0-3.6)"
"PsO/PsA","Psoriatic arthritis","12 months","6.5 (5.2-7.9)","5.4 (3.6-7.7)","1.6 (1.0-2.5)","3.0 (2.2-3.9)","7.1 (6.4-7.8)","6.4 (5.4-7.5)","2.3 (1.9-2.7)","2.6 (2.2-3.0)","10.5 (9.8-11.3)","8.1 (7.4-8.9)","2.7 (2.4-3.0)","3.5 (3.2-3.9)"
"Uveitis","Uveitis","12 months","8.4 (7.0-10.1)","7.3 (5.2-9.9)","6.5 (5.1-8.2)","6.1 (5.0-7.3)","7.8 (7.1-8.5)","6.8 (5.8-7.9)","6.7 (6.0-7.5)","7.8 (7.1-8.5)","6.9 (6.3-7.5)","5.0 (4.4-5.6)","3.8 (3.4-4.1)","3.3 (3.0-3.6)"
