"type","outcomeCategory","disease","MPCD TNF","MPCD DMARD","MPCD NSAID","MPCD No exposure","Marketscan TNF","Marketscan DMARD","Marketscan NSAID","Marketscan No exposure","Medicare TNF","Medicare DMARD","Medicare NSAID","Medicare No exposure"
"Comorbidity","Kidney disease","Nephrotic syndrome","0.30 (0.04-1.07)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.00 (0.04-0.26)","0.03 (0.00-0.17)","0.00 (0.00-0.49)","0.00 (0.00-0.37)","0.03 (0.00-0.15)","0.14 (0.00-0.75)","0.00 (0.00-0.30)","0.00 (0.00-0.18)","0.05 (0.00-0.09)"
"Comorbidity","Lung disease","Apical Pulmonary fibrosis","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.07 (0.00-0.39)","0.00 (0.00-0.11)","0.00 (0.00-0.49)","0.00 (0.00-0.37)","0.00 (0.00-0.10)","0.00 (0.00-0.50)","0.00 (0.00-0.30)","0.00 (0.00-0.18)","0.00 (0.00-0.02)"
"Comorbidity","Lung disease","Interstitial lung disease","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.00 (0.00-0.26)","0.03 (0.00-0.17)","0.00 (0.00-0.49)","0.00 (0.00-0.37)","0.11 (0.00-0.28)","0.41 (0.08-1.20)","0.50 (0.18-1.09)","0.05 (0.00-0.27)","0.22 (0.08-0.31)"
"Comorbidity","Lung disease","Restrictive lung disease ","0.15 (0.00-0.83)","0.00 (0.00-1.99)","1.96 (0.53-5.01)","0.84 (0.00-1.46)","0.63 (0.39-0.96)","0.27 (0.03-0.97)","0.61 (0.22-1.32)","1.04 (0.39-1.43)","1.86 (0.99-3.18)","2.57 (1.73-3.66)","1.80 (1.25-2.50)","1.77 (0.99-1.99)"
"Comorbidity","Neurological Disease","Cauda Equina syndrome","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.07 (0.00-0.39)","0.03 (0.00-0.17)","0.00 (0.00-0.49)","0.10 (0.00-0.56)","0.03 (0.00-0.15)","0.00 (0.00-0.50)","0.08 (0.00-0.46)","0.10 (0.01-0.35)","0.04 (0.00-0.08)"
"Comorbidity","Neurological Disease","Spinal Cord compression","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.48 (0.01-2.70)","0.07 (0.00-0.39)","0.15 (0.05-0.35)","0.00 (0.00-0.49)","0.20 (0.02-0.72)","0.05 (0.05-0.20)","0.14 (0.00-0.76)","0.25 (0.05-0.72)","0.29 (0.11-0.64)","0.14 (0.00-0.21)"
"Comorbidity","Osteoporotic fracture","Clinical vertebral fracture","0.75 (0.24-1.74)","0.54 (0.01-3.01)","0.48 (0.01-2.70)","1.55 (0.24-2.35)","0.42 (0.23-0.70)","0.27 (0.03-0.97)","1.00 (0.48-1.85)","0.99 (0.23-1.37)","2.71 (1.63-4.24)","2.00 (1.27-2.99)","3.49 (2.70-4.44)","2.62 (1.63-2.90)"
"Comorbidity","Osteoporotic fracture","Non-vertebral osteoporotic fracture","1.35 (0.62-2.57)","2.19 (0.60-5.61)","1.49 (0.31-4.34)","1.98 (0.62-2.87)","1.05 (0.73-1.47)","1.23 (0.56-2.33)","1.42 (0.78-2.39)","1.15 (0.73-1.56)","4.31 (2.89-6.19)","3.37 (2.38-4.62)","4.72 (3.77-5.83)","3.47 (2.89-3.80)"
"Disease manifestation","Inflammatory bowel disease","Crohn’s Disease","1.58 (0.76-2.91)","1.10 (0.13-3.98)","0.49 (0.01-2.70)","1.35 (0.76-2.10)","1.59 (1.18-2.09)","1.22 (0.56-2.33)","0.61 (0.22-1.33)","2.18 (1.18-2.72)","1.31 (0.60-2.49)","0.84 (0.40-1.55)","0.35 (0.14-0.72)","0.58 (0.60-0.71)"
"Disease manifestation","Inflammatory bowel disease","Ulcerative Colitis","0.61 (0.17-1.55)","0.54 (0.01-3.01)","0.97 (0.12-3.52)","1.19 (0.17-1.91)","1.41 (1.03-1.88)","1.91 (1.04-3.20)","0.71 (0.29-1.46)","2.00 (1.03-2.52)","1.62 (0.81-2.90)","0.94 (0.47-1.68)","0.70 (0.38-1.17)","0.77 (0.81-0.92)"
"Disease manifestation","PsO/PsA","Psoriasis","1.45 (0.66-2.75)","0.00 (0.00-2.09)","1.02 (0.12-3.67)","1.29 (0.66-2.04)","2.10 (1.62-2.67)","1.73 (0.90-3.03)","1.36 (0.72-2.32)","1.28 (1.62-1.71)","2.37 (1.33-3.91)","0.81 (0.37-1.54)","0.82 (0.47-1.34)","1.17 (1.33-1.35)"
"Disease manifestation","PsO/PsA","Psoriatic arthritis","2.10 (1.12-3.59)","1.73 (0.36-5.04)","1.52 (0.31-4.44)","1.52 (1.12-2.32)","2.81 (2.24-3.46)","4.25 (2.85-6.11)","0.52 (0.17-1.21)","1.73 (2.24-2.22)","2.63 (1.53-4.21)","1.73 (1.04-2.70)","0.87 (0.51-1.40)","0.47 (1.53-0.59)"
"Disease manifestation","Uveitis","Uveitis","3.09 (1.86-4.82)","3.39 (1.24-7.38)","2.00 (0.55-5.12)","2.99 (1.86-4.06)","3.45 (2.83-4.18)","2.83 (1.73-4.37)","2.83 (1.87-4.12)","3.63 (2.83-4.32)","2.31 (1.32-3.76)","1.46 (0.85-2.34)","0.85 (0.49-1.36)","0.55 (1.32-0.69)"
