database,cohort,outcomeCategory,Disease,denomPatid,denomControlCohort,timeWindow,numer,prevPct
MPCD,Non-AS,Lung disease,Interstitial lung disease,1139225,1139225,24 months,56,0.0049156225
MPCD,Non-AS,Lung disease,Interstitial lung disease,1139225,1139225,36 months,62,0.0054422963
MPCD,Non-AS,Lung disease,Interstitial lung disease,1139225,1139225,Prior to index,29,0.0025455902
MPCD,Non-AS,Lung disease,Restrictive lung disease ,1139225,1139225,12 months,6119,0.537119533
MPCD,Non-AS,Lung disease,Restrictive lung disease ,1139225,1139225,24 months,11634,1.0212205666
MPCD,Non-AS,Lung disease,Restrictive lung disease ,1139225,1139225,36 months,15781,1.3852399658
MPCD,Non-AS,Lung disease,Restrictive lung disease ,1139225,1139225,Prior to index,4220,0.3704272641
MPCD,Non-AS,Neurological Disease,Cauda Equina syndrome,1139225,1139225,12 months,54,0.0047400645
MPCD,Non-AS,Neurological Disease,Cauda Equina syndrome,1139225,1139225,24 months,113,0.0099190239
MPCD,Non-AS,Neurological Disease,Cauda Equina syndrome,1139225,1139225,36 months,154,0.0135179618
MPCD,Non-AS,Neurological Disease,Cauda Equina syndrome,1139225,1139225,Prior to index,42,0.0036867168
MPCD,Non-AS,Neurological Disease,Spinal Cord compression,1139225,1139225,12 months,423,0.0371305054
MPCD,Non-AS,Neurological Disease,Spinal Cord compression,1139225,1139225,24 months,793,0.0696087252
MPCD,Non-AS,Neurological Disease,Spinal Cord compression,1139225,1139225,36 months,1079,0.0947135114
MPCD,Non-AS,Neurological Disease,Spinal Cord compression,1139225,1139225,Prior to index,296,0.0259825759
MPCD,Non-AS,Osteoporotic fracture,Clinical vertebral fracture,1139225,1139225,12 months,3989,0.3501503215
MPCD,Non-AS,Osteoporotic fracture,Clinical vertebral fracture,1139225,1139225,24 months,7873,0.6910838509
MPCD,Non-AS,Osteoporotic fracture,Clinical vertebral fracture,1139225,1139225,36 months,11040,0.9690798569
MPCD,Non-AS,Osteoporotic fracture,Clinical vertebral fracture,1139225,1139225,Prior to index,3045,0.2672869714
MPCD,Non-AS,Osteoporotic fracture,Non-vertebral osteoporotic fracture,1139225,1139225,12 months,11336,0.9950624328
MPCD,Non-AS,Osteoporotic fracture,Non-vertebral osteoporotic fracture,1139225,1139225,24 months,22261,1.9540477079
MPCD,Non-AS,Osteoporotic fracture,Non-vertebral osteoporotic fracture,1139225,1139225,36 months,30838,2.7069279554
MPCD,Non-AS,Osteoporotic fracture,Non-vertebral osteoporotic fracture,1139225,1139225,Prior to index,8449,0.7416445391
MPCD,Non-AS,PsO/PsA,Psoriasis,1139225,1139225,12 months,47825,4.1980293621
MPCD,Non-AS,PsO/PsA,Psoriasis,1139225,1139225,24 months,71429,6.2699642301
MPCD,Non-AS,PsO/PsA,Psoriasis,1139225,1139225,36 months,84205,7.3914283833
MPCD,Non-AS,PsO/PsA,Psoriasis,1139225,1139225,Prior to index,33212,2.9153152362
MPCD,Non-AS,PsO/PsA,Psoriatic arthritis,1139225,1139225,12 months,10408,0.9136035463
MPCD,Non-AS,PsO/PsA,Psoriatic arthritis,1139225,1139225,24 months,14643,1.285347495
MPCD,Non-AS,PsO/PsA,Psoriatic arthritis,1139225,1139225,36 months,17232,1.5126072549
MPCD,Non-AS,PsO/PsA,Psoriatic arthritis,1139225,1139225,Prior to index,7755,0.6807259321
MPCD,Non-AS,Uveitis,Uveitis,1139225,1139225,12 months,1849,0.1623033202
MPCD,Non-AS,Uveitis,Uveitis,1139225,1139225,24 months,3151,0.2765915425
MPCD,Non-AS,Uveitis,Uveitis,1139225,1139225,36 months,3991,0.3503258794
MPCD,Non-AS,Uveitis,Uveitis,1139225,1139225,Prior to index,1262,0.1107770634
