database,exposure,outcomeCategory,Disease,denomPatid,denomIndexExp,timeWindow,numer,prevPct
MPCD,NSAID or no exposure,Kidney disease,Nephrotic syndrome,2083,2593,Prior to index,0,0
MPCD,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,2083,2593,12 months,0,0
MPCD,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,2083,2593,24 months,1,0.0385653683
MPCD,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,2083,2593,36 months,1,0.0385653683
MPCD,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,2083,2593,Prior to index,0,0
MPCD,NSAID or no exposure,Lung disease,Interstitial lung disease,2083,2593,12 months,2,0.0771307366
MPCD,NSAID or no exposure,Lung disease,Interstitial lung disease,2083,2593,24 months,4,0.1542614732
MPCD,NSAID or no exposure,Lung disease,Interstitial lung disease,2083,2593,36 months,4,0.1542614732
MPCD,NSAID or no exposure,Lung disease,Interstitial lung disease,2083,2593,Prior to index,1,0.0385653683
MPCD,NSAID or no exposure,Lung disease,Restrictive lung disease ,2083,2593,12 months,45,1.7354415735
MPCD,NSAID or no exposure,Lung disease,Restrictive lung disease ,2083,2593,24 months,68,2.6224450444
MPCD,NSAID or no exposure,Lung disease,Restrictive lung disease ,2083,2593,36 months,75,2.8924026224
MPCD,NSAID or no exposure,Lung disease,Restrictive lung disease ,2083,2593,Prior to index,41,1.5811801003
MPCD,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,2083,2593,12 months,4,0.1542614732
MPCD,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,2083,2593,24 months,5,0.1928268415
MPCD,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,2083,2593,36 months,5,0.1928268415
MPCD,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,2083,2593,Prior to index,3,0.1156961049
MPCD,NSAID or no exposure,Neurological Disease,Spinal Cord compression,2083,2593,12 months,9,0.3470883147
MPCD,NSAID or no exposure,Neurological Disease,Spinal Cord compression,2083,2593,24 months,11,0.4242190513
MPCD,NSAID or no exposure,Neurological Disease,Spinal Cord compression,2083,2593,36 months,13,0.5013497879
MPCD,NSAID or no exposure,Neurological Disease,Spinal Cord compression,2083,2593,Prior to index,7,0.2699575781
MPCD,NSAID or no exposure,PsO/PsA,Psoriasis,2083,2593,12 months,50,1.928268415
MPCD,NSAID or no exposure,PsO/PsA,Psoriasis,2083,2593,24 months,67,2.5838796761
MPCD,NSAID or no exposure,PsO/PsA,Psoriasis,2083,2593,36 months,72,2.7767065175
MPCD,NSAID or no exposure,PsO/PsA,Psoriasis,2083,2593,Prior to index,69,2.6610104126
MPCD,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,2083,2593,12 months,63,2.4296182029
MPCD,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,2083,2593,24 months,76,2.9309679907
MPCD,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,2083,2593,36 months,86,3.3166216737
MPCD,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,2083,2593,Prior to index,63,2.4296182029
MPCD,NSAID or no exposure,Uveitis,Uveitis,2083,2593,12 months,162,6.2475896645
MPCD,NSAID or no exposure,Uveitis,Uveitis,2083,2593,24 months,190,7.3274199769
MPCD,NSAID or no exposure,Uveitis,Uveitis,2083,2593,36 months,202,7.7902043965
MPCD,NSAID or no exposure,Uveitis,Uveitis,2083,2593,Prior to index,191,7.3659853452
MPCD,TNF,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1107,1279,12 months,23,1.7982799062
MPCD,TNF,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1107,1279,24 months,30,2.3455824863
MPCD,TNF,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1107,1279,36 months,31,2.4237685692
MPCD,TNF,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1107,1279,Prior to index,19,1.4855355747
MPCD,TNF,Cardiac disease,Conduction Block,1107,1279,12 months,3,0.2345582486
MPCD,TNF,Cardiac disease,Conduction Block,1107,1279,24 months,5,0.3909304144
MPCD,TNF,Cardiac disease,Conduction Block,1107,1279,36 months,5,0.3909304144
MPCD,TNF,Cardiac disease,Conduction Block,1107,1279,Prior to index,5,0.3909304144
MPCD,TNF,Cardiac disease,Myocardial infarction,1107,1279,12 months,4,0.3127443315
MPCD,TNF,Cardiac disease,Myocardial infarction,1107,1279,24 months,7,0.5473025801
MPCD,TNF,Cardiac disease,Myocardial infarction,1107,1279,36 months,7,0.5473025801
MPCD,TNF,Cardiac disease,Myocardial infarction,1107,1279,Prior to index,4,0.3127443315
MPCD,TNF,Inflammatory bowel disease,Crohn’s Disease,1107,1279,12 months,75,5.8639562158
MPCD,TNF,Inflammatory bowel disease,Crohn’s Disease,1107,1279,24 months,82,6.4112587959
MPCD,TNF,Inflammatory bowel disease,Crohn’s Disease,1107,1279,36 months,85,6.6458170446
MPCD,TNF,Inflammatory bowel disease,Crohn’s Disease,1107,1279,Prior to index,78,6.0985144644
MPCD,TNF,Inflammatory bowel disease,Ulcerative Colitis,1107,1279,12 months,40,3.1274433151
MPCD,TNF,Inflammatory bowel disease,Ulcerative Colitis,1107,1279,24 months,46,3.5965598124
MPCD,TNF,Inflammatory bowel disease,Ulcerative Colitis,1107,1279,36 months,50,3.9093041439
MPCD,TNF,Inflammatory bowel disease,Ulcerative Colitis,1107,1279,Prior to index,47,3.6747458952
MPCD,TNF,Kidney disease,IgA nephropathy,1107,1279,12 months,4,0.3127443315
MPCD,TNF,Kidney disease,IgA nephropathy,1107,1279,24 months,4,0.3127443315
MPCD,TNF,Kidney disease,IgA nephropathy,1107,1279,36 months,4,0.3127443315
MPCD,TNF,Kidney disease,IgA nephropathy,1107,1279,Prior to index,1,0.0781860829
MPCD,TNF,Kidney disease,Nephrotic syndrome,1107,1279,12 months,2,0.1563721658
MPCD,TNF,Kidney disease,Nephrotic syndrome,1107,1279,24 months,2,0.1563721658
MPCD,TNF,Kidney disease,Nephrotic syndrome,1107,1279,36 months,2,0.1563721658
MPCD,TNF,Kidney disease,Nephrotic syndrome,1107,1279,Prior to index,0,0
MPCD,TNF,Lung disease,Interstitial lung disease,1107,1279,12 months,0,0
MPCD,TNF,Lung disease,Interstitial lung disease,1107,1279,24 months,0,0
MPCD,TNF,Lung disease,Interstitial lung disease,1107,1279,36 months,0,0
MPCD,TNF,Lung disease,Interstitial lung disease,1107,1279,Prior to index,2,0.1563721658
MPCD,TNF,Lung disease,Restrictive lung disease ,1107,1279,12 months,9,0.7036747459
MPCD,TNF,Lung disease,Restrictive lung disease ,1107,1279,24 months,15,1.1727912432
MPCD,TNF,Lung disease,Restrictive lung disease ,1107,1279,36 months,17,1.3291634089
MPCD,TNF,Lung disease,Restrictive lung disease ,1107,1279,Prior to index,13,1.0164190774
MPCD,TNF,Neurological Disease,Spinal Cord compression,1107,1279,12 months,2,0.1563721658
MPCD,TNF,Neurological Disease,Spinal Cord compression,1107,1279,24 months,2,0.1563721658
MPCD,TNF,Neurological Disease,Spinal Cord compression,1107,1279,36 months,2,0.1563721658
MPCD,TNF,Neurological Disease,Spinal Cord compression,1107,1279,Prior to index,1,0.0781860829
MPCD,TNF,PsO/PsA,Psoriasis,1107,1279,12 months,55,4.3002345582
MPCD,TNF,PsO/PsA,Psoriasis,1107,1279,24 months,67,5.2384675528
MPCD,TNF,PsO/PsA,Psoriasis,1107,1279,36 months,72,5.6293979672
MPCD,TNF,PsO/PsA,Psoriasis,1107,1279,Prior to index,53,4.1438623925
MPCD,TNF,PsO/PsA,Psoriatic arthritis,1107,1279,12 months,83,6.4894448788
MPCD,TNF,PsO/PsA,Psoriatic arthritis,1107,1279,24 months,98,7.662236122
MPCD,TNF,PsO/PsA,Psoriatic arthritis,1107,1279,36 months,103,8.0531665364
MPCD,TNF,PsO/PsA,Psoriatic arthritis,1107,1279,Prior to index,84,6.5676309617
MPCD,TNF,Uveitis,Uveitis,1107,1279,12 months,108,8.4440969507
MPCD,TNF,Uveitis,Uveitis,1107,1279,24 months,121,9.4605160281
MPCD,TNF,Uveitis,Uveitis,1107,1279,36 months,126,9.8514464425
MPCD,TNF,Uveitis,Uveitis,1107,1279,Prior to index,145,11.336982017
Marketscan,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1799,2045,12 months,38,1.858190709
Marketscan,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1799,2045,24 months,49,2.3960880196
Marketscan,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1799,2045,36 months,54,2.6405867971
Marketscan,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1799,2045,Prior to index,43,2.1026894866
Marketscan,DMARD,Cardiac disease,Conduction Block,1799,2045,12 months,37,1.8092909535
Marketscan,DMARD,Cardiac disease,Conduction Block,1799,2045,24 months,50,2.4449877751
Marketscan,DMARD,Cardiac disease,Conduction Block,1799,2045,36 months,50,2.4449877751
Marketscan,DMARD,Cardiac disease,Conduction Block,1799,2045,Prior to index,50,2.4449877751
Marketscan,DMARD,Cardiac disease,Myocardial infarction,1799,2045,12 months,3,0.1466992665
Marketscan,DMARD,Cardiac disease,Myocardial infarction,1799,2045,24 months,6,0.293398533
Marketscan,DMARD,Cardiac disease,Myocardial infarction,1799,2045,36 months,8,0.391198044
Marketscan,DMARD,Cardiac disease,Myocardial infarction,1799,2045,Prior to index,10,0.488997555
Marketscan,DMARD,Inflammatory bowel disease,Crohn’s Disease,1799,2045,12 months,84,4.1075794621
Marketscan,DMARD,Inflammatory bowel disease,Crohn’s Disease,1799,2045,24 months,96,4.6943765281
Marketscan,DMARD,Inflammatory bowel disease,Crohn’s Disease,1799,2045,36 months,100,4.8899755501
Marketscan,DMARD,Inflammatory bowel disease,Crohn’s Disease,1799,2045,Prior to index,98,4.7921760391
Marketscan,DMARD,Inflammatory bowel disease,Ulcerative Colitis,1799,2045,12 months,68,3.3251833741
Marketscan,DMARD,Inflammatory bowel disease,Ulcerative Colitis,1799,2045,24 months,83,4.0586797066
Marketscan,DMARD,Inflammatory bowel disease,Ulcerative Colitis,1799,2045,36 months,87,4.2542787286
Marketscan,DMARD,Inflammatory bowel disease,Ulcerative Colitis,1799,2045,Prior to index,61,2.9828850856
Marketscan,DMARD,Kidney disease,Amyloidosis,1799,2045,12 months,0,0
Marketscan,DMARD,Kidney disease,Amyloidosis,1799,2045,24 months,1,0.0488997555
Marketscan,DMARD,Kidney disease,Amyloidosis,1799,2045,36 months,1,0.0488997555
Marketscan,DMARD,Kidney disease,Amyloidosis,1799,2045,Prior to index,1,0.0488997555
Marketscan,DMARD,Kidney disease,IgA nephropathy,1799,2045,12 months,3,0.1466992665
Marketscan,DMARD,Kidney disease,IgA nephropathy,1799,2045,24 months,3,0.1466992665
Marketscan,DMARD,Kidney disease,IgA nephropathy,1799,2045,36 months,3,0.1466992665
Marketscan,DMARD,Kidney disease,IgA nephropathy,1799,2045,Prior to index,4,0.195599022
Marketscan,DMARD,Kidney disease,Nephrotic syndrome,1799,2045,12 months,1,0.0488997555
Marketscan,DMARD,Kidney disease,Nephrotic syndrome,1799,2045,24 months,2,0.097799511
Marketscan,DMARD,Kidney disease,Nephrotic syndrome,1799,2045,36 months,3,0.1466992665
Marketscan,DMARD,Kidney disease,Nephrotic syndrome,1799,2045,Prior to index,2,0.097799511
Marketscan,DMARD,Lung disease,Interstitial lung disease,1799,2045,12 months,3,0.1466992665
Marketscan,DMARD,Lung disease,Interstitial lung disease,1799,2045,24 months,4,0.195599022
Marketscan,DMARD,Lung disease,Interstitial lung disease,1799,2045,36 months,4,0.195599022
Marketscan,DMARD,Lung disease,Interstitial lung disease,1799,2045,Prior to index,5,0.2444987775
Marketscan,DMARD,Lung disease,Restrictive lung disease ,1799,2045,12 months,64,3.1295843521
Marketscan,DMARD,Lung disease,Restrictive lung disease ,1799,2045,24 months,81,3.9608801956
Marketscan,DMARD,Lung disease,Restrictive lung disease ,1799,2045,36 months,90,4.4009779951
Marketscan,DMARD,Lung disease,Restrictive lung disease ,1799,2045,Prior to index,91,4.4498777506
Marketscan,DMARD,Neurological Disease,Cauda Equina syndrome,1799,2045,12 months,3,0.1466992665
Marketscan,DMARD,Neurological Disease,Cauda Equina syndrome,1799,2045,24 months,3,0.1466992665
Marketscan,DMARD,Neurological Disease,Cauda Equina syndrome,1799,2045,36 months,3,0.1466992665
Marketscan,DMARD,Neurological Disease,Cauda Equina syndrome,1799,2045,Prior to index,5,0.2444987775
Marketscan,DMARD,Neurological Disease,Spinal Cord compression,1799,2045,12 months,11,0.5378973105
Marketscan,DMARD,Neurological Disease,Spinal Cord compression,1799,2045,24 months,19,0.9290953545
Marketscan,DMARD,Neurological Disease,Spinal Cord compression,1799,2045,36 months,21,1.0268948655
Marketscan,DMARD,Neurological Disease,Spinal Cord compression,1799,2045,Prior to index,10,0.488997555
Marketscan,DMARD,PsO/PsA,Psoriasis,1799,2045,12 months,78,3.8141809291
Marketscan,DMARD,PsO/PsA,Psoriasis,1799,2045,24 months,92,4.4987775061
Marketscan,DMARD,PsO/PsA,Psoriasis,1799,2045,36 months,105,5.1344743276
Marketscan,DMARD,PsO/PsA,Psoriasis,1799,2045,Prior to index,78,3.8141809291
Marketscan,DMARD,PsO/PsA,Psoriatic arthritis,1799,2045,12 months,149,7.2860635697
Marketscan,DMARD,PsO/PsA,Psoriatic arthritis,1799,2045,24 months,168,8.2151589242
Marketscan,DMARD,PsO/PsA,Psoriatic arthritis,1799,2045,36 months,176,8.6063569682
Marketscan,DMARD,PsO/PsA,Psoriatic arthritis,1799,2045,Prior to index,126,6.1613691932
Marketscan,DMARD,Uveitis,Uveitis,1799,2045,12 months,185,9.0464547677
Marketscan,DMARD,Uveitis,Uveitis,1799,2045,24 months,212,10.366748166
Marketscan,DMARD,Uveitis,Uveitis,1799,2045,36 months,225,11.002444988
Marketscan,DMARD,Uveitis,Uveitis,1799,2045,Prior to index,225,11.002444988
Marketscan,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,8025,10589,12 months,239,2.2570592124
Marketscan,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,8025,10589,24 months,299,2.8236849561
Marketscan,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,8025,10589,36 months,333,3.1447728775
Marketscan,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,8025,10589,Prior to index,298,2.8142411937
Marketscan,NSAID or no exposure,Cardiac disease,Conduction Block,8025,10589,12 months,245,2.3137217868
Marketscan,NSAID or no exposure,Cardiac disease,Conduction Block,8025,10589,24 months,330,3.1164415903
Marketscan,NSAID or no exposure,Cardiac disease,Conduction Block,8025,10589,36 months,362,3.418641987
Marketscan,NSAID or no exposure,Cardiac disease,Conduction Block,8025,10589,Prior to index,261,2.4648219851
Marketscan,NSAID or no exposure,Cardiac disease,Myocardial infarction,8025,10589,12 months,70,0.6610633676
Marketscan,NSAID or no exposure,Cardiac disease,Myocardial infarction,8025,10589,24 months,86,0.812163566
Marketscan,NSAID or no exposure,Cardiac disease,Myocardial infarction,8025,10589,36 months,99,0.9349324771
Marketscan,NSAID or no exposure,Cardiac disease,Myocardial infarction,8025,10589,Prior to index,55,0.5194069317
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,8025,10589,12 months,333,3.1447728775
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,8025,10589,24 months,381,3.5980734725
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,8025,10589,36 months,403,3.8058362452
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,8025,10589,Prior to index,345,3.2580980263
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,8025,10589,12 months,266,2.5120407971
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,8025,10589,24 months,305,2.8803475305
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,8025,10589,36 months,326,3.0786665407
Marketscan,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,8025,10589,Prior to index,277,2.6159221834
Marketscan,NSAID or no exposure,Kidney disease,Amyloidosis,8025,10589,12 months,3,0.0283312872
Marketscan,NSAID or no exposure,Kidney disease,Amyloidosis,8025,10589,24 months,3,0.0283312872
Marketscan,NSAID or no exposure,Kidney disease,Amyloidosis,8025,10589,36 months,3,0.0283312872
Marketscan,NSAID or no exposure,Kidney disease,Amyloidosis,8025,10589,Prior to index,3,0.0283312872
Marketscan,NSAID or no exposure,Kidney disease,IgA nephropathy,8025,10589,12 months,10,0.0944376239
Marketscan,NSAID or no exposure,Kidney disease,IgA nephropathy,8025,10589,24 months,14,0.1322126735
Marketscan,NSAID or no exposure,Kidney disease,IgA nephropathy,8025,10589,36 months,17,0.1605439607
Marketscan,NSAID or no exposure,Kidney disease,IgA nephropathy,8025,10589,Prior to index,14,0.1322126735
Marketscan,NSAID or no exposure,Kidney disease,Nephrotic syndrome,8025,10589,12 months,5,0.047218812
Marketscan,NSAID or no exposure,Kidney disease,Nephrotic syndrome,8025,10589,24 months,7,0.0661063368
Marketscan,NSAID or no exposure,Kidney disease,Nephrotic syndrome,8025,10589,36 months,7,0.0661063368
Marketscan,NSAID or no exposure,Kidney disease,Nephrotic syndrome,8025,10589,Prior to index,6,0.0566625744
Marketscan,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,8025,10589,12 months,2,0.0188875248
Marketscan,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,8025,10589,24 months,2,0.0188875248
Marketscan,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,8025,10589,36 months,2,0.0188875248
Marketscan,NSAID or no exposure,Lung disease,Apical Pulmonary fibrosis,8025,10589,Prior to index,2,0.0188875248
Marketscan,NSAID or no exposure,Lung disease,Interstitial lung disease,8025,10589,12 months,11,0.1038813863
Marketscan,NSAID or no exposure,Lung disease,Interstitial lung disease,8025,10589,24 months,13,0.1227689111
Marketscan,NSAID or no exposure,Lung disease,Interstitial lung disease,8025,10589,36 months,14,0.1322126735
Marketscan,NSAID or no exposure,Lung disease,Interstitial lung disease,8025,10589,Prior to index,15,0.1416564359
Marketscan,NSAID or no exposure,Lung disease,Restrictive lung disease ,8025,10589,12 months,380,3.5886297101
Marketscan,NSAID or no exposure,Lung disease,Restrictive lung disease ,8025,10589,24 months,484,4.5707809992
Marketscan,NSAID or no exposure,Lung disease,Restrictive lung disease ,8025,10589,36 months,556,5.2507318916
Marketscan,NSAID or no exposure,Lung disease,Restrictive lung disease ,8025,10589,Prior to index,495,4.6746623855
Marketscan,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,8025,10589,12 months,9,0.0849938616
Marketscan,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,8025,10589,24 months,10,0.0944376239
Marketscan,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,8025,10589,36 months,10,0.0944376239
Marketscan,NSAID or no exposure,Neurological Disease,Cauda Equina syndrome,8025,10589,Prior to index,10,0.0944376239
Marketscan,NSAID or no exposure,Neurological Disease,Spinal Cord compression,8025,10589,12 months,68,0.6421758429
Marketscan,NSAID or no exposure,Neurological Disease,Spinal Cord compression,8025,10589,24 months,87,0.8216073284
Marketscan,NSAID or no exposure,Neurological Disease,Spinal Cord compression,8025,10589,36 months,93,0.8782699027
Marketscan,NSAID or no exposure,Neurological Disease,Spinal Cord compression,8025,10589,Prior to index,56,0.5288506941
Marketscan,NSAID or no exposure,PsO/PsA,Psoriasis,8025,10589,12 months,235,2.2192841628
Marketscan,NSAID or no exposure,PsO/PsA,Psoriasis,8025,10589,24 months,289,2.7292473321
Marketscan,NSAID or no exposure,PsO/PsA,Psoriasis,8025,10589,36 months,329,3.1069978279
Marketscan,NSAID or no exposure,PsO/PsA,Psoriasis,8025,10589,Prior to index,248,2.3420530739
Marketscan,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,8025,10589,12 months,307,2.8992350552
Marketscan,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,8025,10589,24 months,363,3.4280857494
Marketscan,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,8025,10589,36 months,395,3.730286146
Marketscan,NSAID or no exposure,PsO/PsA,Psoriatic arthritis,8025,10589,Prior to index,303,2.8614600057
Marketscan,NSAID or no exposure,Uveitis,Uveitis,8025,10589,12 months,1042,9.8404004155
Marketscan,NSAID or no exposure,Uveitis,Uveitis,8025,10589,24 months,1188,11.219189725
Marketscan,NSAID or no exposure,Uveitis,Uveitis,8025,10589,36 months,1244,11.748040419
